No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;OurTests_Audioquality;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
1;oppo;Oppo K13 Turbo Pro;https://www.gsmarena.com/oppo_k13_turbo_pro_5g-14013.php;N/A;N/A;"80W wired, 13.5W PD, 44W UFCS, 33W PPS
Reverse wired";7000 mAh;"Built-in cooling fan
IPX8/IPX9 water resistant (high pressure water jets; immersible up to 2m for 30 min)";N/A;162.8 x 77.2 x 7.3 mm (6.41 x 3.04 x 0.29 in);Nano-SIM + Nano-SIM;208 g (7.34 oz);5.4, A2DP, LE, aptX HD, LHDC 5;Yes;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band;N/A;N/A;1280 x 2800 pixels, 19.5:9 ratio (~453 ppi density);6.8 inches, 112.8 cm2 (~89.8% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 1600 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, July 21;Available. Released 2025, July 25;"50 MP, f/1.8, 27mm (wide), PDAF, OIS
2 MP";LED flash, HDR, panorama;N/A;N/A;N/A;4K@30/60fps, 1080p@30fps;UFS 4.0;No;256GB 8GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM;Silver Knight, Purple Phantom, Midnight Maverick;PLE110;About 340 EUR;N/A;CDMA 800;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700 / 2100;1, 3, 5, 8, 19, 28, 34, 38, 39, 40, 41, 42, 48;1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720);Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm);Adreno 825;Android 15, ColorOS 15;1080p@30fps;16 MP, f/2.4, 22mm (wide);Yes;N/A;No;Yes, with stereo speakers
2;oppo;Oppo Reno8 T;https://www.gsmarena.com/oppo_reno8_t-12109.php;N/A;N/A;"33W wired, PD, 54% in 30 min
Reverse wired";Li-Po 5000 mAh;N/A;Glass front (Gorilla Glass 5), glass back or eco leather back, plastic frame;160.8 x 73.8 x 7.8 mm (6.33 x 2.91 x 0.31 in);Nano-SIM + Nano-SIM;180 g or 183 g (6.35 oz);5.3, A2DP, LE, aptX HD;N/A;Yes;GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~409 ppi density);6.43 inches, 99.8 cm2 (~84.1% screen-to-body ratio);AMOLED, 90Hz, 430 nits (typ), 800 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, February 02;Available. Released 2023, February 02;"100 MP, f/1.7, 26mm (wide), AF
2 MP, f/3.3, 34mm (microscope)
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;UFS 2.2;microSDXC;128GB 8GB RAM, 256GB 8GB RAM;Black Starlight, Orange Sunset;CPH2481;About 490 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Helio G99 (6 nm);Mali-G57 MC2;Android 13, upgradable to Android 14, ColorOS 14;HDR, panorama;32 MP, f/2.4, 22mm (wide);1080p@30fps;N/A;Yes;Yes, with stereo speakers
3;oppo;Oppo A31;https://www.gsmarena.com/oppo_a31-10083.php;N/A;N/A;N/A;Li-Po 4230 mAh;N/A;Glass front (Gorilla Glass 3), plastic back, plastic frame;163.9 x 75.5 x 8.3 mm (6.45 x 2.97 x 0.33 in);Nano-SIM + Nano-SIM;180 g (6.35 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, BDS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 3;720 x 1600 pixels, 20:9 ratio (~270 ppi density);6.5 inches, 102.0 cm2 (~82.4% screen-to-body ratio);IPS LCD, 480 nits (typ);N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2020, February 13;Available. Released 2020, February 14;N/A;LED flash, HDR, panorama;N/A;N/A;"12 MP, f/1.8, (wide), 1/2.86"", 1.25µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Fantasy White, Mystery Black, Lake Green;CPH2015, CPH2073, CPH2081, CPH2029, CPH2031;$ 76.79;N/A;1, 3, 5, 7, 8, 38, 40, 41 - Asia;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100 - International;1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - International;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);Mediatek MT6765V/CB Helio P35 (12 nm);PowerVR GE8320;Android 9.0 (Pie), ColorOS 6.1;HDR;"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm";1080p@30fps;N/A;Yes;Yes
4;oppo;Oppo A9 (2020);https://www.gsmarena.com/oppo_a9_(2020)-9819.php;N/A;N/A;"10W wired
Reverse wired";Li-Po 5000 mAh, non-removable;N/A;Glass front (Gorilla Glass 3), plastic back, plastic frame;163.6 x 75.6 x 9.1 mm (6.44 x 2.98 x 0.36 in);Nano-SIM + Nano-SIM;195 g (6.88 oz);5.0, A2DP, LE;N/A;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 3;720 x 1600 pixels, 20:9 ratio (~270 ppi density);6.5 inches, 102.0 cm2 (~82.5% screen-to-body ratio);IPS LCD, 480 nits (typ);N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2019, September 10. Released 2019, September;Discontinued;N/A;Dual-LED dual-tone flash, panorama, HDR;"48 MP, f/1.8, (wide), 1/2.25"", 0.8µm, PDAF
8 MP, f/2.3, 119˚ (ultrawide), 1/4.0"", 1.12µm, AF
2 MP, f/2.4, 1/5.0"", 1.75µm
2 MP, f/2.4, (depth)";N/A;N/A;4K@30fps, 1080p@30fps, gyro-EIS;UFS 2.1;microSDXC (dedicated slot);128GB 4GB RAM, 128GB 8GB RAM;Marine Green, Space Purple, Vanilla Mint;CPH1937, CPH1939, CPH1941;About 150 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Qualcomm SDM665 Snapdragon 665 (11 nm);Adreno 610;Android 9.0 (Pie), upgradable to Android 10, ColorOS 7.1;HDR;"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes, with stereo speakers
5;oppo;Oppo F29;https://www.gsmarena.com/oppo_f29-13722.php;N/A;N/A;45W wired, PD, 30% in 21 min;Si/C Li-Ion 6500 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front (Gorilla Glass 7i), fiber fabric back or fiberglass back;161.6 x 74.5 x 7.7 mm (6.36 x 2.93 x 0.30 in);Nano-SIM + Nano-SIM;185 g or 189 g (6.53 oz);5.1, A2DP, LE, aptX HD;N/A;No;GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 7i;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~89.7% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, March 20;Available. Released 2025, March 27;"50 MP, f/1.8, 27mm (wide), 1/2.88"", PDAF
2 MP, f/2.4, (depth)";Color spectrum sensor, LED flash, HDR, panorama;N/A;N/A;N/A;4K@30fps, 1080p@30/120fps, gyro-EIS;UFS 3.1;No;128GB 8GB RAM, 256GB 8GB RAM;Deep Purple, Glacier Blue;N/A;₹ 18,896;1.12 W/kg (head)     0.89 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55);Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm);Adreno 710;Android 15, ColorOS 15;N/A;16 MP, f/2.4, (wide);1080p@30fps;N/A;No;Yes, with stereo speakers
6;oppo;Oppo Reno12 F;https://www.gsmarena.com/oppo_reno12_f-13182.php;N/A;N/A;"45W wired, PD2.0
Reverse wired";5000 mAh;IP64 dust tight and water resistant (water splashes);N/A;163.1 x 75.8 x 7.8 mm (6.42 x 2.98 x 0.31 in);Nano-SIM + Nano-SIM;187 g (6.60 oz);5.3, A2DP, LE, aptX;Yes;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS, QZSS;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Asahi Glass AGC DT-Star2;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~86.9% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HMB), 2100 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, June 28;Available. Released 2024, July;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.8, 26mm (wide), PDAF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";1080p@30/60fps, gyro-EIS;UFS 2.2;microSDXC;256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM, 512GB 12GB RAM;Olive Green, Amber Orange;CPH2637;$ 369.00;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66;1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6300 (6 nm);Mali-G57 MC2;Android 14, upgradable to Android 15, ColorOS 15;Panorama;"32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm";1080p@30fps;N/A;No;Yes, with stereo speakers
7;oppo;Oppo Reno8 T 5G;https://www.gsmarena.com/oppo_reno8_t_5g-12069.php;N/A;N/A;"67W wired, PD, 100% in 44 min
Reverse wired";Li-Po 4800 mAh;N/A;N/A;162.3 x 74.3 x 7.7 mm (6.39 x 2.93 x 0.30 in);Nano-SIM + Nano-SIM;171 g (6.03 oz);5.1, A2DP, LE, aptX HD;N/A;Yes;GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Asahi Glass AGC DT-Star2;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~89.6% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 500 nits (typ), 800 nits (HBM), 950 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2023, February 01;Available. Released 2023, February 10;N/A;LED flash, HDR, panorama;N/A;N/A;"108 MP, f/1.7, 24mm (wide), 1/1.67"", 0.64µm, AF
2 MP, f/3.3, 34mm (microscope)
2 MP, f/2.4, (depth)";1080p@30fps;UFS 2.2;microSDXC (uses shared SIM slot);128GB 8GB RAM, 256GB 8GB RAM;Black Starlight (Midnight Black), Dawn Gold (Sunrise Gold);CPH2505;About 340 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver);Qualcomm SM6375 Snapdragon 695 5G (6 nm);Adreno 619;Android 13, upgradable to Android 14, ColorOS 14;HDR, panorama;32 MP, f/2.4, 22mm (wide);1080p@30fps;N/A;No;Yes, with stereo speakers
8;oppo;Oppo Reno12 Pro;https://www.gsmarena.com/oppo_reno12_pro-13132.php;N/A;N/A;"80W wired, PD2.0, 47% in 18 min, 100% in 46 min,
Reverse wired";5000 mAh;IP65 dust tight and water resistant (low pressure water jets);Glass front (Gorilla Glass Victus 2), plastic frame, glass back;161.5 x 74.8 x 7.4 mm (6.36 x 2.94 x 0.29 in);Nano-SIM + Nano-SIM;180 g (6.35 oz);5.4, A2DP, LE, aptX HD, LHDC;Yes;Yes, 360˚ (market/region dependent);GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Corning Gorilla Glass Victus 2;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~89.4% screen-to-body ratio);AMOLED, 1B colors, 120Hz, HDR10+, 1200 nits (peak);N/A;N/A;N/A;N/A;BeaconLink calls via bluetooth, up to 200m;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, June 18;Available. Released 2024, June 18;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.8, 26mm (wide), 1/1.95"", 0.8µm, multi-directional PDAF, OIS
50 MP, f/2.0, 47mm (telephoto), 1/2.75"", PDAF, 2x optical zoom
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm";4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS, OIS, HDR;UFS 3.1;microSDXC;256GB 12GB RAM, 512GB 12GB RAM;Space Brown, Sunset Gold, Nebula Silver, Manish Malhotra;CPH2629;$ 829.00 / £ 389.00;N/A;1, 3, 5, 8, 40 SA/NSA - version 2;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - version 1;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - version 1;1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA - version 1;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;Active use score 14:54h;N/A;N/A;1380 nits max brightness (measured);-24.0 LUFS (Very good);"AnTuTu: 681677 (v10)
GeekBench: 2625 (v6)
3DMark: 854 (Wild Life Extreme)";Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7300 Energy (4 nm);Mali-G615 MC2;Android 14, up to 3 major Android upgrades, ColorOS 14.1;Panorama, HDR;"50 MP, f/2.0, 21mm (wide), 1/2.75"", PDAF";4K@30fps, 1080p@30/60fps, gyro-EIS;N/A;No;Yes, with stereo speakers
9;oppo;Oppo F27 Pro+;https://www.gsmarena.com/oppo_f27_pro+-13126.php;N/A;N/A;"67W wired, PD, 56% in 20 min
Reverse wired";5000 mAh;"IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
Drop resistant up to 1.8m*
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";N/A;162.7 x 74.3 x 7.9 mm (6.41 x 2.93 x 0.31 in);Nano-SIM + Nano-SIM;177 g (6.24 oz);5.3, A2DP, LE, aptX HD, LHDC;Yes;No;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Corning Gorilla Glass Victus 2;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~89.4% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 500 nits (typ), 800 nits (HBM), 950 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, June 13;Available. Released 2024, June 20;"64 MP, f/1.7, (wide), 1/2.0"", 0.7µm, PDAF
2 MP, f/2.4, (macro)";LED flash, HDR, panorama;N/A;N/A;N/A;4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS;UFS 3.1;No;128GB 8GB RAM, 256GB 8GB RAM;Blue;CPH2643;₹ 19,698;0.97 W/kg (head)     0.72 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 7050 (6 nm);Mali-G68 MC4;Android 14, ColorOS 14;N/A;8 MP, f/2.0, (wide);4K@30fps, 1080p@30fps, gyro-EIS;N/A;No;Yes
10;oppo;Oppo A79;https://www.gsmarena.com/oppo_a79-12636.php;N/A;N/A;33W wired, 51% in 30 min;Li-Po 5000 mAh;IPX4 splash resistant;N/A;165.6 x 76 x 8 mm (6.52 x 2.99 x 0.31 in);Nano-SIM + Nano-SIM;193 g (6.81 oz);5.3, A2DP, LE, aptX HD;N/A;No;GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Panda glass;1080 x 2400 pixels, 20:9 ratio (~392 ppi density);6.72 inches, 109.0 cm2 (~86.6% screen-to-body ratio);IPS LCD, 90Hz, 680 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2023, October 27;Available. Released 2023, October 28;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;UFS 2.2;microSDXC;128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Mystery Black, Glowing Green, Dazzling Purple;CPH2553, CPH2557;₹ 18,419;1.19 W/kg (head)     1.06 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 28, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6020 (7 nm);Mali-G57 MC2;Android 13, upgradable to Android 15, ColorOS 15;HDR;8 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes, with stereo speakers
11;oppo;Oppo Reno11;https://www.gsmarena.com/oppo_reno11-12791.php;N/A;N/A;"67W wired, PD, QC3, 100% in 45 min
Reverse wired";Li-Po 5000 mAh;N/A;N/A;162.4 x 74.3 x 7.9 mm or 8.0 mm;Nano-SIM + Nano-SIM;182 g (6.42 oz);5.3, A2DP, LE, aptX HD, LHDC;Yes;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;Asahi Glass AGC DT-Star2;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~89.5% screen-to-body ratio);AMOLED, 1B colors, 120Hz, HDR10+, 800 nits (HBM), 950 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, January 12;Available. Released 2024, January 25;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.8, 26mm (wide), 1/1.95"", PDAF, OIS
32 MP, f/2.0, 47mm (telephoto), 1/2.74"", 0.8µm, PDAF, 2x optical zoom
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm";4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS;UFS 2.2;microSDXC;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;Wave Green, Rock Grey;CPH2599;$ 374.88;0.97 W/kg (head)     0.61 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA;HSPA, LTE (CA), 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 7050 (6 nm);Mali-G68 MC4;Android 14, upgradable to Android 15, ColorOS 15;Panorama, HDR;"32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm";4K@30fps, 1080p@30fps, gyro-EIS;N/A;No;Yes, with stereo speakers
12;oppo;Oppo Reno11 F;https://www.gsmarena.com/oppo_reno11_f-12797.php;N/A;N/A;"67W wired, PD2.0, QC3, 100% in 48 min
Reverse wired";5000 mAh;IP65 dust tight and water resistant (low pressure water jets);N/A;161.1 x 74.7 x 7.5 mm (6.34 x 2.94 x 0.30 in);Nano-SIM + Nano-SIM;177 g (6.24 oz);5.2, A2DP, LE, aptX HD, LHDC;N/A;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Panda glass;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~89.8% screen-to-body ratio);AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 900 nits (HBM), 1100 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, February 08;Available. Released 2024, February 08;N/A;LED flash, HDR, panorama;N/A;N/A;"64 MP, f/1.7, 25mm (wide), 1/2.0"", 0.7µm, PDAF
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";4K@30fps, 1080p@30/60/120/480fps, gyro-EIS;UFS 3.1;microSDXC;256GB 8GB RAM;Palm Green, Ocean Blue, Coral Purple;CPH2603;$ 585.00;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66;1, 2, 3, 5, 7, 8, 20, 26, 28, 66, 38, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 7050 (6 nm);Mali-G68 MC4;Android 14, upgradable to Android 15, ColorOS 15;Panorama;"32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm";4K@30fps, 1080p@30fps, gyro-EIS;N/A;No;Yes
