No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;OurTests_Audioquality;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
1;Realme;Realme GT 7T;https://www.gsmarena.com/realme_gt_7t_5g-13869.php;N/A;N/A;"120W wired, 50% in 15 min, 100% in 42 min
Bypass charging";Si/C Li-Ion 7000 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)";N/A;162.4 x 76 x 8.3 mm (6.39 x 2.99 x 0.33 in);Nano-SIM + Nano-SIM;202 g (7.13 oz);6.0, A2DP, LE;Yes;Yes, 360˚;GPS (L1+L5), BDS (B1I+B1C+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS;No;USB Type-C;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;ArmorShell glass, Mohs level 6;1280 x 2800 pixels, 19.5:9 ratio (~453 ppi density);6.8 inches, 112.8 cm2 (~91.4% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 2160Hz PWM, HDR10+, Dolby Vision, 1000 nits (typ), 1800 nits (HBM), 6000 nits (peak);79:21h endurance, 800 cycles;Class A;Class A (270 falls);Class B;Circle to Search;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, May 27;Available. Released 2025, May 27;"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, multi-directional PDAF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm";Color spectrum sensor, LED flash, HDR, panorama;N/A;N/A;N/A;4K@30/60fps, 1080p@30/60/120fps, gyro-EIS, OIS;"UFS 3.1 - 128GB
UFS 4.0 - 256/512GB";No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;IceSense Black, IceSense Blue, Racing Yellow;RMX5085;$ 599.00 / € 426.99 / £ 349.99 / ₹ 30,998;1.18 W/kg (head)     0.66 W/kg (body);N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66;1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725);Mediatek Dimensity 8400 Max (4 nm);Mali-G720 MC7;Android 15, up to 6 major Android upgrades, Realme UI 6.0;Panorama;"32 MP, f/2.5, 21mm (wide), 1/2.74"", 0.8µm";4K@30/60fps, 1080p@30/60fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers
2;Realme;Realme Note 50;https://www.gsmarena.com/realme_note_50-12799.php;N/A;N/A;10W wired;5000 mAh;IP54 dust protected and water resistant (water splashes);Glass front, plastic frame, plastic back;167.2 x 76.7 x 8 mm (6.58 x 3.02 x 0.31 in);Nano-SIM + Nano-SIM;186 g (6.56 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO;Unspecified;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1600 pixels, 20:9 ratio (~260 ppi density);6.74 inches, 109.7 cm2 (~85.5% screen-to-body ratio);IPS LCD, 90Hz, 560 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2024, January 23;Available. Released 2024, January 23;N/A;LED flash, HDR, panorama;N/A;"13 MP, f/2.2, 25mm (wide), PDAF
0.08 MP ,(auxiliary lens)";N/A;1080p@30fps;еMMC 5.1;microSDXC (dedicated slot);64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM;Sky Blue, Midnight Black;RMX3834;$ 67.04 / € 74.38;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Unisoc Tiger T612 (12 nm);Mali-G57;Android 13, Realme UI T;HDR;5 MP, f/2.2, 27mm (wide);720p@30fps;N/A;Yes;Yes
3;Realme;Realme 5 Pro;https://www.gsmarena.com/realme_5_pro-9801.php;N/A;N/A;20W wired, 50% in 30 min;4035 mAh, non-removable;Weather-sealed ports & loudspeaker;Glass front (Gorilla Glass 3+), plastic back, plastic frame;157 x 74.2 x 8.9 mm (6.18 x 2.92 x 0.35 in);Nano-SIM + Nano-SIM;184 g (6.49 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 3+;1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density);6.3 inches, 97.4 cm2 (~83.6% screen-to-body ratio);IPS LCD, 450 nits (typ);N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2019, August 20. Released 2019, September;Discontinued;N/A;LED flash, HDR, panorama;"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 13mm (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";N/A;N/A;4K@30fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS;UFS 2.1;microSDXC (dedicated slot);64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 8GB RAM;Crystal Green, Crystal Blue, Chroma White;RMX1971, RMX1973;About 430 EUR;N/A;N/A;1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EMEA;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41 - India;N/A;HSPA, LTE;GSM / HSPA / LTE;Noise -93.3dB / Crosstalk -92.0dB;N/A;Endurance rating 100h;Photo / Video;1875:1 contrast ratio, 512 nits max brightness (measured);Voice 66dB / Noise 72dB / Ring 85dB;"AnTuTu: 182765 (v7)
GeekBench: 6106 (v4.4)
GFXBench: 12fps (ES 3.1 onscreen)";Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver);Qualcomm SDM712 Snapdragon 712 (10 nm);Adreno 616;Android 9.0 (Pie), upgradable to Android 11, Realme UI 2.0;HDR, panorama;"16 MP, f/2.0, 25mm (wide), 1/3.06"", 1.0µm";1080p@30fps;N/A;Yes;Yes
4;Realme;Realme C71;https://www.gsmarena.com/realme_c71-13931.php;N/A;N/A;"45W wired, 50% in 36 min
6W reverse wired";6000 mAh - Europe6300 mAh - Asia;"Dust tight and water resistant (water splashes)
Drop resistant up to 1.5m
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";N/A;165.8 x 75.9 x 7.8 mm (6.53 x 2.99 x 0.31 in);Nano-SIM + Nano-SIM;196 g (6.91 oz);5.2, A2DP, LE;N/A;Yes (market/region dependent);GPS, GALILEO, GLONASS, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Mohs level 6;720 x 1604 pixels, 20:9 ratio (~264 ppi density);6.67 inches, 107.2 cm2 (~85.2% screen-to-body ratio);IPS LCD, 120Hz, 725 nits (peak);65:46h endurance, 1000 cycles;Class A;Class A (270 falls);Class B;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2025, June 02;Available. Released 2025, June 02;N/A;LED flash, panorama;N/A;"50 MP, f/1.8, 27mm (wide), 1/2.88"", PDAF";N/A;1080p@30fps;N/A;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Midnight Lily (Forest Owl), Lily White (White Swan);RMX5303;$ 143.41 / € 126.90 / £ 118.99 / ₹ 6,690;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55);Unisoc T7250 (12 nm);Mali-G57 MP1;Android 15, Realme UI 6.0;N/A;"5 MP, f/2.2, 27mm (wide), 1/5.0""";720p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes
5;Realme;Realme C75;https://www.gsmarena.com/realme_c75_5g-13837.php;N/A;N/A;"45W wired
5W reverse wired";Li-Po 6000 mAh;"IP64 dust tight and water resistant (water splashes)
Drop resistant up to 2m
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";N/A;165.7 x 76.2 x 7.9 mm (6.52 x 3.00 x 0.31 in);Nano-SIM + Nano-SIM;190 g (6.70 oz);5.3, A2DP, LE;N/A;No;GPS, GALILEO, GLONASS, QZSS, BDS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Mohs level 5;720 x 1604 pixels, 20:9 ratio (~264 ppi density);6.67 inches, 107.2 cm2 (~84.9% screen-to-body ratio);IPS LCD, 120Hz, 625 nits;65:33h endurance, 1000 cycles;Class A;Class B (180 falls);Class B;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2025, May 02;Available. Released 2025, May 08;N/A;LED flash, panorama;N/A;"32 MP, f/1.8, 27mm (wide), 1/3.1"", PDAF";N/A;1080p@30fps;N/A;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Midnight Lily, Purple Blossom, Lily White;RMX3943;₹ 12,999;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6300 (6 nm);Mali-G57 MC2;Android 15, Realme UI 6.0;Panorama;8 MP, f/2.0, (wide);1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes
6;Realme;Realme 15T;https://www.gsmarena.com/realme_15t_5g-14105.php;N/A;N/A;"60W wired
10W reverse wired
Bypass charging";Si/C Li-Ion 7000 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2.5m for 30 min)";Glass front, plastic frame, plastic back;158.4 x 75.2 x 7.8 mm (6.24 x 2.96 x 0.31 in);Nano-SIM + Nano-SIM;181 g (6.38 oz);5.3, A2DP, LE;Yes;No;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2372 pixels (~401 ppi density);6.57 inches, 102.9 cm2 (~86.4% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 2160Hz PWM, 1000 nits (typ), 1400 nits (HBM), 4000 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, September 02;Available. Released 2025, September 05;"50 MP, f/1.8, 27mm (wide), 1/2.88"", PDAF
2 MP, f/2.4";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30/60, gyro-EIS;UFS 2.2;microSDXC;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;Silk Blue, Suit Titanium, Flowing Silver;N/A;₹ 20,999;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6400 Max (6 nm);Mali-G57 MC2;Android 15, up to 3 major Android upgrades, Realme UI 6.0;N/A;50 MP;1080p@30fps;N/A;No;Yes
7;Realme;Realme 11;https://www.gsmarena.com/realme_11-12444.php;N/A;N/A;67W wired, 0-50% in 17 min;5000 mAh;N/A;Glass front, aluminum frame, plastic back;165.7 x 76 x 8.1 mm (6.52 x 2.99 x 0.32 in);Nano-SIM + Nano-SIM;190 g (6.70 oz);5.2, A2DP, LE;N/A;Yes (market/region dependent);GPS, GALILEO, GLONASS, BDS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~392 ppi density);6.72 inches, 109.0 cm2 (~86.6% screen-to-body ratio);IPS LCD, 120Hz, 550 nits (typ), 680 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2023, July 31;Available. Released 2023, July 31;"108 MP, f/1.8, 24mm (wide), 1/1.67"", 0.64µm, PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;UFS 2.2;microSDXC (dedicated slot);128GB 8GB RAM, 256GB 8GB RAM;Midnight Black (Glory Black), Sunrise Gold (Glory Gold);RMX3780;About 230 EUR;N/A;N/A;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA - India;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - International;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - International;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6100+ (6 nm);Mali-G57 MC2;Android 13, Realme UI 4.0;Panorama, HDR;16 MP, f/2.5, 23mm (wide);1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes
8;Realme;Realme Narzo 70 Turbo;https://www.gsmarena.com/realme_narzo_70_turbo-13294.php;N/A;N/A;45W wired, 50% in 30 min;5000 mAh;IP65 dust tight and water resistant (low pressure water jets);N/A;161.7 x 74.7 x 7.6 mm (6.37 x 2.94 x 0.30 in);Nano-SIM + Nano-SIM;185 g (6.53 oz);5.4, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;HDR image support;N/A;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~88.9% screen-to-body ratio);OLED, 120Hz, HDR, 600 nits (typ), 2000 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, September 09;Available. Released 2024, September 16;"50 MP, f/1.8, 27mm (wide), PDAF
2 MP, f/2.4, (depth)
Auxiliary lens (flicker sensor)";LED flash, HDR, panorama;N/A;N/A;N/A;4K@30fps, 1080p@30/60/120fps, gyro-EIS;UFS 3.1;microSDXC (uses shared SIM slot);128GB 6GB RAM, 128GB 8GB RAM, 256GB 12GB RAM;Turbo Yellow, Turbo Green, Turbo Purple;RMX5003;₹ 14,398;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7300 Energy (4 nm);Mali-G615 MC2;Android 14, Realme UI 5.0;Panorama;16 MP, f/2.4, (wide);1080p@30fps;N/A;Yes;Yes, with stereo speakers
9;Realme;Realme 10 Pro+;https://www.gsmarena.com/realme_10_pro+-11952.php;N/A;N/A;67W wired, PD3.0, 50% in 17 min;5000 mAh;N/A;Glass front, plastic frame, plastic back;161.5 x 73.9 x 7.8 mm or 8 mm;Nano-SIM + Nano-SIM;173 g / 175 g (6.10 oz);5.2, A2DP, LE, aptX HD;N/A;Yes (market/region dependent);GPS (L1+L5), GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;N/A;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~90.5% screen-to-body ratio);AMOLED, 1B colors, HDR10+, 120Hz, 800 nits;N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2022, November 17;Available. Released 2022, November 24;N/A;LED flash, HDR, panorama;N/A;N/A;"108 MP, f/1.8, 24mm (wide), 1/1.67"", 0.64µm, PDAF
8 MP, f/2.2, 16mm, 112˚ (ultrawide)
2 MP, f/2.4, (macro)";4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS;N/A;No;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;Dark Matter Black, Nebula Blue, Hyperspace;RMX3687, RMX3686;About 650 EUR;N/A;N/A;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66 - International;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;N/A;N/A;Endurance rating 149h;Photo / Video;809 nits max brightness (measured);-25.4 LUFS (Very good);"AnTuTu: 522376 (v9)
GeekBench: 2371 (v5.1)
GFXBench: 23fps (ES 3.1 onscreen)";Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) - version 1Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) - version 2;Mediatek Dimensity 1080 (6 nm) - version 1Mediatek Dimensity 920 (6 nm) - version 2;Mali-G68 MC4 - version 1Mali-G68 MC4 - version 2;Android 13, Realme UI 4.0;Panorama;16 MP, f/2.5, 25mm (wide);1080p@30fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers
10;Realme;Realme C67 4G;https://www.gsmarena.com/realme_c67_4g-12741.php;N/A;N/A;33W wired;5000 mAh;IP54 dust protected and water resistant (water splashes);N/A;164.6 x 75.4 x 7.6 mm (6.48 x 2.97 x 0.30 in);Nano-SIM + Nano-SIM;185 g (6.53 oz);5.0, A2DP, LE;N/A;Yes, 360˚;GPS, GALILEO, GLONASS, QZSS, BDS;Unspecified;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~392 ppi density);6.72 inches, 109.0 cm2 (~87.8% screen-to-body ratio);IPS LCD, 90Hz, 800 nits (typ), 950 nits (HBM);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2023, December 19;Available. Released 2023, December 19;"108 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps, gyro-EIS;N/A;microSDXC (dedicated slot);128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Sunny Oasis, Black Rock;RMX3890;About 160 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53);Qualcomm SM6225 Snapdragon 685 (6 nm);Adreno 610;Android 14, Realme UI;N/A;8 MP, f/2.1, (wide);1080p@30fps;N/A;Yes;Yes, with stereo speakers
11;Realme;Realme 5i;https://www.gsmarena.com/realme_5i-10010.php;N/A;N/A;10W wired;5000 mAh;N/A;Glass front (Gorilla Glass), plastic back, plastic frame;164.4 x 75 x 9.3 mm (6.47 x 2.95 x 0.37 in);Nano-SIM + Nano-SIM;195 g (6.88 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass (unspecified);720 x 1600 pixels, 20:9 ratio (~269 ppi density);6.52 inches, 102.6 cm2 (~83.2% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2020, January 06;Available. Released 2020, January;N/A;LED flash, HDR, panorama;"12 MP, f/1.8, (wide), 1/2.9"", 1.25µm, PDAF
8 MP, f/2.3, 13mm (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";N/A;N/A;4K@30fps, 1080p@30fps, gyro-EIS;eMMC;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM;Blue, Green;RMX2030, RMX2032;About 170 EUR;N/A;N/A;1, 3, 5, 8, 38, 40, 41 - India;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Global;N/A;HSPA, LTE (2CA) 450/50 Mbps;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Qualcomm SDM665 Snapdragon 665 (11 nm);Adreno 610;Android 9.0 (Pie), upgradable to Android 10, Realme UI;HDR, panorama;8 MP, f/2.0;1080p@30fps;N/A;Yes;Yes
12;Realme;Realme GT 6;https://www.gsmarena.com/realme_gt_6-13103.php;N/A;N/A;120W wired, 50% in 10 min, 100% in 28 min;5500 mAh;IP65 dust tight and water resistant (low pressure water jets);Glass front (Gorilla Glass Victus 2), plastic frame, glass back;162 x 75.1 x 8.6 mm (6.38 x 2.96 x 0.34 in);Nano-SIM + Nano-SIM;199 g (7.02 oz);5.4, A2DP, LE, aptX HD, LHDC;Yes;Yes, 360˚;GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Corning Gorilla Glass Victus 2;1264 x 2780 pixels (~450 ppi density);6.78 inches, 111.7 cm2 (~91.8% screen-to-body ratio);LTPO AMOLED, 1B colors, 120Hz, HDR 10+, Dolby Vision, 1600 nits (HBM), 6000 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, June 20;Available. Released 2024, June 25;N/A;Color spectrum sensor, Dual-LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.7, (wide), 1/1.4"", PDAF, OIS
50 MP, f/2.0, 47mm (telephoto), 1/2.8"", PDAF
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm";4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS;UFS 4.0;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM;Fluid Sliver, Razor Green;RMX3851;$ 249.59 / € 489.99 / £ 428.49;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;Active use score 14:32h;N/A;N/A;Contrast ratio: Infinite (nominal);-24.5 LUFS (Very good);"AnTuTu: 1540147 (v10)
GeekBench: 5085 (v6)
3DMark: 3114 (Wild Life Extreme)";Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520);Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm);Adreno 735;Android 14, up to 3 major Android upgrades, Realme UI 5.0;Panorama;"32 MP, f/2.5, 22mm (wide), 1/2.74""";4K@30fps, 1080p@30fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers
